wavelength1	intensity1	wavelength2	intensity2
340.4485474	0.0008559019770000001	340.5509033	0.002277170309000001
340.5570068	0.0025551444850000003	340.65979	0.0005423370750000005
340.6654358	-0.0008927033341	340.7686768	-0.0006861691359999998
340.7738647	0.0007566912099999986	340.877533	-0.0006410488850000003
340.8823242	-0.00123496633	340.9864502	0.00042825565000000065
340.9907837	-0.00230616692	341.0953369	-0.000378515569999998
341.0992432	-6.200606000000006e-05	341.2042236	-0.001539424989000001
341.2077332	-0.0002398174260000007	341.3131409	0.0018392102800000015
341.3161926	-0.0021030702630000005	341.4220581	-0.00020575895999999996
341.4246826	-0.00025035184799999987	341.5309753	-0.0008835503830000001
341.5331726	0.0005572845693999999	341.6398926	-0.001011401415
341.6416626	0.0001752125099999998	341.7488403	0.00044474285000000065
341.7501831	-0.0002740134949999998	341.8577881	-1.3642950000000015e-05
341.8586731	-8.077710000000023e-05	341.9667358	-0.0012159587345
341.9671936	0.0007250944620000002	342.0756836	-0.0007887324309999999
342.0757141	0.0007334835799999995	342.1846313	0.0015975991289999998
342.1842346	-0.00012594275199999914	342.2936096	-0.001899681979999998
342.2927856	-0.00032601132899999974	342.4025574	0.000253375736
342.4013367	-0.0002731184939999999	342.5115356	0.0002366988919999995
342.5098572	0.0009082555750000009	342.6205444	-0.0005663596100000008
342.6184082	0.002245753538	342.7295227	0.0012295469639999994
342.7269897	-8.342444199999999e-05	342.8385315	-0.0017162375150000016
342.8355408	-0.0007062572990000002	342.9475098	-0.0012147724599999993
342.9441223	-0.0010324707300000003	343.0565186	0.0011233426600000002
343.0527039	0.0008376215119999999	343.1655579	-6.718375000000151e-05
343.1612854	-0.00017736444352	343.2745667	-0.001850719562000001
343.2698669	-6.39794744e-05	343.383606	0.0007143230180000001
343.378479	0.0003800615600000005	343.4926453	-0.0015381909900000004
343.4870911	-0.00029733125000000124	343.6016846	-0.0009505897799999986
343.5956726	0.00045777996999999977	343.7107239	-0.0023152374774
343.7043152	0.000217999876911	343.8197632	-0.00387035124
343.8129272	0.00213231891	343.928833	-0.0006791469639999999
343.9215698	-0.0009751655100000006	344.0379028	-0.002183282283
344.0301819	8.285324999999979e-05	344.1469727	-0.0038478281400000005
344.1388245	0.0004966943520000001	344.2560425	0.00025373161800000023
344.247467	-0.0003304481500000004	344.3651428	-0.00040761003060000005
344.3561401	0.00019284244599999945	344.4742126	-9.325426100000034e-05
344.4647827	-0.0007956009359999993	344.583313	-0.0014913980845
344.5734558	0.00010745832699999994	344.6924133	0.0008760263298999999
344.6821289	-0.0017585521563	344.8015137	0.0003018528200000002
344.790802	-0.002307649701	344.9106445	-0.0008969297589999994
344.8995056	-0.0004938705819999998	345.0197754	-0.00026794708999999806
345.0081787	-0.0001779283052000001	345.1289062	0.0014921296399999992
345.1168823	0.00028351042000000076	345.2380371	-0.0023327681709999996
345.2255859	0.00017359387000000052	345.347168	-3.551412399999988e-05
345.3343201	0.0013310073409999999	345.4562988	-0.0017983648000000005
345.4430237	-0.0020951034960000003	345.5654602	-0.0012180695770000003
345.5517578	0.0010023796919999984	345.6746216	-0.0005904734130000001
345.6604919	0.0014775153300000017	345.783783	0.00036766938900000164
345.7692261	-0.002511788043	345.8929749	-0.0018200703197999999
345.8779602	0.0016864766949	346.0021362	0.0010594334400000002
345.9866943	0.0007247268219999999	346.1113281	-0.002630412579999998
346.095459	0.00011490377999999989	346.22052	0.0003140103000000005
346.2042236	-0.0006163623189999988	346.3297119	-0.0014299098400000002
346.3129883	0.0002752684521000001	346.4389038	0.00045516923999999997
346.4217529	-5.391054000000034e-05	346.5481262	-0.0014361252255
346.5305481	0.00015603750899999963	346.6573486	0.0006405469029999999
346.6393433	-0.0024554388367	346.766571	0.0008032462789999999
346.7481079	-0.00021497967825	346.8757935	-0.00035564647999999964
346.8569336	0.00043981801700000017	346.9850159	0.000145047903
346.9657288	-2.1124250000000705e-05	347.0942688	-0.0010570902300000018
347.0745239	0.0007981923410000005	347.2034912	-0.0009215533209
347.1833496	0.002236077096	347.3127441	-0.0007550586020000001
347.2921753	0.0011305883499999995	347.4220276	0.001578122377000001
347.401001	-0.0007654624059999999	347.5312805	-0.0013053443980000003
347.5098572	-0.0005174458489999999	347.6405334	-0.0020052227193
347.6186829	-0.0002543109000000001	347.7498169	-0.0015111232639999999
347.7275391	-0.0006714123300000001	347.8591003	-0.0019093968440000004
347.8363953	-0.0001227310859999997	347.9683838	0.0015695579400000007
347.9452515	-0.0006061154409999995	348.0776978	-0.001106219366
348.0541077	0.0006880798607000001	348.1869812	-0.0031428246295
