Wellenlänge 1	Intensität 1	Wellenlänge 2	Intensität 2
3.348188782e+02	7.196240127e-03	3.348983765e+02	4.747126717e-03
3.349269714e+02	-2.955543576e-03	3.350069275e+02	2.429702552e-03
3.350350952e+02	8.878958412e-03	3.351154785e+02	6.453757174e-03
3.351431885e+02	5.994298495e-03	3.352240295e+02	5.789069459e-03
3.352513123e+02	1.778257196e-03	3.353325806e+02	1.227426436e-02
3.353594360e+02	2.332999371e-03	3.354411621e+02	1.122783069e-04
3.354675598e+02	8.028353564e-03	3.355497131e+02	1.302428427e-04
3.355757141e+02	3.313044086e-03	3.356582947e+02	3.345893463e-03
3.356838379e+02	3.294552676e-03	3.357668762e+02	1.122783069e-04
3.357919922e+02	1.482394640e-03	3.358754883e+02	1.351830782e-03
3.359001465e+02	4.718391225e-03	3.359840698e+02	7.208267227e-03
3.360083313e+02	-1.993990270e-03	3.360926819e+02	5.555530544e-03
3.361164856e+02	-2.003236004e-04	3.362012939e+02	2.537489636e-03
3.362246704e+02	5.236150697e-03	3.363099060e+02	3.723148722e-03
3.363328552e+02	3.719855100e-03	3.364185181e+02	6.489686202e-03
3.364410400e+02	1.695045794e-04	3.365271606e+02	1.172185526e-03
3.365492249e+02	1.112566446e-03	3.366358032e+02	3.363857977e-03
3.366574402e+02	3.571923822e-03	3.367444458e+02	4.423765466e-03
3.367656555e+02	6.623006426e-03	3.368530884e+02	5.447743461e-03
3.368738708e+02	2.462439239e-03	3.369617310e+02	3.220141865e-03
3.369820862e+02	-3.852376831e-04	3.370704041e+02	1.423688955e-03
3.370903015e+02	6.623006426e-03	3.371790771e+02	2.245566066e-05
3.371985474e+02	4.884813912e-03	3.372877502e+02	8.393926546e-03
3.373067932e+02	3.830803558e-03	3.373964233e+02	2.573418897e-03
3.374150391e+02	2.628861926e-03	3.375050964e+02	4.118368495e-03
3.375232849e+02	5.421064794e-03	3.376138000e+02	-2.277004067e-03
3.376315613e+02	7.917405106e-03	3.377225037e+02	6.489686202e-03
3.377398071e+02	-1.790584764e-03	3.378312073e+02	5.950750317e-03
3.378480835e+02	5.809384398e-03	3.379399109e+02	-5.703737843e-04
3.379563599e+02	8.536867099e-04	3.380486450e+02	6.956764031e-03
3.380646667e+02	7.307188585e-03	3.381573486e+02	1.693156897e-03
3.381729431e+02	-3.011017805e-03	3.382660828e+02	1.281320024e-02
3.382812500e+02	5.402573384e-03	3.383748169e+02	4.010580946e-03
3.383895569e+02	7.242468419e-04	3.384835815e+02	2.429702552e-03
3.384978638e+02	2.647353336e-03	3.385923157e+02	8.735252544e-03
3.386061707e+02	6.031281315e-03	3.387010803e+02	5.375885405e-03
3.387145081e+02	9.711071849e-03	3.388098450e+02	-3.368349280e-04
3.388228455e+02	2.148085274e-03	3.389186096e+02	-2.977620577e-03
3.389311829e+02	4.404037260e-03	3.390274048e+02	4.944736604e-03
3.390395203e+02	1.078357361e-02	3.391361694e+02	2.070412040e-03
3.391478577e+02	-2.104938729e-03	3.392449646e+02	6.112431176e-03
3.392562256e+02	7.824948058e-03	3.393537598e+02	1.100327354e-03
3.393645935e+02	4.478002898e-03	3.394625549e+02	9.745756979e-04
3.394729614e+02	8.721781196e-04	3.395713501e+02	1.118291984e-03
3.395813293e+02	6.881886162e-03	3.396801758e+02	3.651290433e-03
3.396896973e+02	7.658525370e-03	3.397890015e+02	1.387759810e-03
3.397980957e+02	-1.513213618e-03	3.398978271e+02	2.995136194e-02
